zts1e	Nuevo Ítem
zts2e	[n]
zts3e	Bastón de Madera
zts4e	Primera arma de los aventureros recién llegados a NosVille.[n][n]
zts5e	Bastón de Madera
zts6e	Un Bastón de madera que causa daños adicionales[n][n]
zts7e	Espada de Madera
zts8e	Una Espada Rígida apropiada para el entrenamiento de los aventureros[n][n]
zts9e	Martillo de Madera
zts10e	Un martillo fabricado con madera muy dura[n][n]
zts11e	Martillo Pesado de Madera
zts12e	Un martillo de madera pesado que causa daños adicionales[n][n]
zts13e	Espada de Madera del Aprendiz
zts14e	Espada para Aventureros aprendices inexpertos [n][n]
zts15e	Espada de Aventuras
zts16e	Una Espada para aventureros fabricada de acero
zts17e	Catapulta de Madera
zts18e	Primera Arma de Tiempo para los aventureros recién llegados en NosVille[n][n]
zts19e	Catapulta Poderosa
zts20e	Catapulta pesada de madera que causa daños adicionales [n][n]
zts21e	Catapulta de madera del aprendiz
zts22e	Catapulta para aventureros aprendices inexpertos .[n][n]
zts23e	Catapulta del Aventurero
zts24e	Una catapulta para aventureros fabricada de acero. [n][n]
zts25e	Ropa
zts26e	Ropa para aventureros recién llegados a NosVille [n][n]
zts27e	Uniforme de Entrenamiento
zts28e	Un uniforme que ha sido fabricado para el entrenamiento de aventureros[n][n]
zts29e	Uniforme de Aventurero
zts30e	Un uniforme de aventurero bien visto[n][n]. Te protege de los efectos secundarios de la reanimación.[n][n]
zts31e	Armadura de Entrenamiento
zts32e	Una armadura de entrenamiento muy confortable [n][n]
zts33e	Set de Abrigos de Aventureros
zts34e	Mantiene a los aventureros abrigados cuando duermen fuera [n][n]
zts35e	Set de Abrigos Calurosos
zts36e	Envuelve todo el cuerpo y abriga. Tiene una escasa probabilidad de bajar de categoría en el tiempo de renacimiento [n][n]
zts37e	Espada Amateur
zts38e	Un presente de Mimi Mentor para todos los aprendices de espadachín.[n] Los aventureros no pueden utilizar esta arma.[n][n]
zts39e	Espada Corta
zts40e	Esta espada es popular entre los espadachines principiantes.[n][n]
zts41e	Espada del Sufrimiento
zts42e	Esta espada ha sido fabricada de las armas de los soldados derrotados.[n] Esta espada aumenta la probabilidad de causar aciertos críticos.[n][n]
zts43e	Espada Larga
zts44e	Un espada común para guerreros.[n][n]
zts45e	Espada de Bronce
zts46e	Un espada adornada con bronce.[n]Aumenta la probabilidad de un acierto critico.[n][n]
zts47e	Sable
zts48e	Este sable es muy popular entre los espadachines.[n][n]
zts49e	Espada Ancha del Espíritu
zts50e	Esta espada desciende de un soldado caído, cuyo espirito se encuentra todavía cautivo en su interior.[n] Aumenta el poder de ataque del elemento de fuego.[n][n]
zts51e	Falchion
zts52e	Un arma de un solo filo cortante y con un mango largo.[n] Debido a su peso liviano, esta arma puede ser manejada con una mano.[n][n]
zts53e	Espada Larga de Oro
zts54e	Una espada adornada con oro.[n]Aumenta la probabilidad de causar un acierto crítico a través del elemento de fuego.[n][n]
zts55e	Espada de Combate
zts56e	Espada con un filo más ancho de lo normal [n][n]
zts57e	Espada larga del Poder
zts58e	A través del Poder de las Tinieblas, esta espada causa grandes daños [n][n]
zts59e	Espada Ancha
zts60e	Una Espada ancha común con un mango agradable [n][n]
zts61e	Skyabona
zts62e	Un poder misterioso protege al dueño de esta espada contra ataques de oponentes [n][n]
